docno,URL,text
d0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTc5Mzc5OTExOTg5NzM5OjE2Njg2MjU3NDA6c3BfYXRmOjIwMDEwNjIwMTQ3MzYzMTo6MDo6&url=%2FAlmay-Enhancing-Longlasting-Antioxidant-Hypoallergenic%2Fdp%2FB08MRRNL17%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1QJ2Z0KOR688P%26keywords%3Deyeshadow%26qid%3D1668625740%26sprefix%3Deyeshadow%252Caps%252C92%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Eyeshadow Palette by Almay Longlasting Eye Makeup Primer Enriched with Antioxidant Vitamin E Hypoallergenic 010 Brown Eyes 0.1 Oz Create beautifully enhanced, brighter looking eyes with the Almay Intense i-color Shadow Palette™, a richly pigmented five-shadow assortment expertly curated by eye color: brown eyes, blue eyes, green eyes, hazel eyes. Each of our four compacts comes with an antioxidant vitamin E-enriched primer base that smooths lids, extends wear of eye shadows, and protects against environmental stressors. Also included are four creamy eye shadows in a variety of finishes that last without creasing, smudging, or fading. Not only is choosing your eye palette easy, so is the application. While the palette mimics the shape of your eye, each pan is labeled with a directional number to make building your look effortless—whether you’re a novice or a pro. Formulated with sensitive eyes in mind, this versatile eye shadow kit is perfect for a wide range of looks including transitioning your eye makeup from day to night. And because we love the environment as much as we love your delicate eyes, we’ve made the packaging from sustainably sourced paper. Formulated without added parabens, phthalates, SLS, mineral oil, DMDM Hydantoin, formaldehydes, and Triclosan. Suitable for contact lens wearers. As always, hypoallergenic. Ophthalmologist tested. Clean. Cruelty free. Fragrance free."
d1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4OTc5Mzc5OTExOTg5NzM5OjE2Njg2MjU3NDA6c3BfYXRmOjIwMDA2NDc4MjYwMjU5ODo6MDo6&url=%2FMaybelline-New-York-Eyeshadow-Palette%2Fdp%2FB09VCXWCGB%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1QJ2Z0KOR688P%26keywords%3Deyeshadow%26qid%3D1668625740%26sprefix%3Deyeshadow%252Caps%252C92%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Maybelline New York Shadow Blocks Shadow Blocks Eyeshadow Palette Stacked Eye Shadow Trio 82nd & Park Ave 0.08 oz Big impact color in a pocket-size hassle free palette: Maybelline New York Shadow Blocks eyeshadow trios stack high-pigment eyeshadow for no-mess application. Inspired by the city streets in some of NYC’s most vibrant neighborhoods, each eye palette is packed with pigmented, blendable shadow in 2 matte shades + 1 shimmer shade. Shadow Blocks is available in 5 curated palettes to create your custom eye shadow looks. Whether you’re pairing purple shades inspired by the streets of Soho or taking on the blocks of Brooklyn with a neutral eye shadow look, Shadow Blocks’ travel-friendly packaging makes it easy to apply on-the-go."
d2,https://www.amazon.com/L-Girl-Beauty-Eyeshadow/dp/B00PGQYEUK/ref=sr_1_3?crid=1QJ2Z0KOR688P&keywords=eyeshadow&qid=1668625740&sprefix=eyeshadow%2Caps%2C92&sr=8-3,L.A. Girl Beauty Brick Eyeshadow Nudes 0.42 Ounce Four gorgeous must-have eyeshadow palettes filled with a dozen majorly pigmented shades ranging from super wearable looks like nudes to bolder looks like neon's. L.a. Girl's beauty brick eyeshadow collection gives you the best of all colors to allow you to create stunning looks! The variety of colors and textures include shimmer and matte shades making these captivating palettes very versatile to go from an everyday look to a night out. Each unique look is featured in its own luxurious glossy book with a double-ended brush and mirror inside.
d3,https://www.amazon.com/CHANGEABLE-Eyeshadow-Highlight-Waterproof-Makeup/dp/B07MQJRK7N/ref=sr_1_4?crid=1QJ2Z0KOR688P&keywords=eyeshadow&qid=1668625740&sprefix=eyeshadow%2Caps%2C92&sr=8-4,Highly Pigmented Eye Makeup Palette  Matte Shimmer Metallic Eyeshadow Pallet Long Lasting Blendable Natural Colors Make Up Eye Shadows Cosmetics Gift Kit
d4,https://www.amazon.com/Naked2-Basics-Eyeshadow-Palette-Neutral/dp/B07LBLK57Q/ref=sr_1_5?crid=1QJ2Z0KOR688P&keywords=eyeshadow&qid=1668625740&sprefix=eyeshadow%2Caps%2C92&sr=8-5,Urban Decay Naked2 Basics Eyeshadow Palette 6 Taupe & Brown Matte Neutral Shades - Ultra-Blendable Rich Colors with Velvety Texture - Makeup Set Includes Mirror & Full-Size Pans - Great for Travel
d5,https://www.amazon.com/Almay-Enhancing-Longlasting-Antioxidant-Hypoallergenic/dp/B08MRRNL17/ref=sxin_13_pa_sp_search_thematic_mod_primary_new?content-id=amzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%3Aamzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295&crid=1QJ2Z0KOR688P&cv_ct_cx=eyeshadow&keywords=eyeshadow&pd_rd_i=B08MRRNL17&pd_rd_r=081c5608-9884-4615-a068-e8040d6e2b04&pd_rd_w=jWHJZ&pd_rd_wg=0TwJC&pf_rd_p=4e7a2229-074e-44de-95c4-9fd858f46295&pf_rd_r=ME1NVC79G6ZH41G7BNA7&qid=1668625740&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=eyeshadow%2Caps%2C92&sr=1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241,"Eyeshadow Palette by Almay Longlasting Eye Makeup Primer Enriched with Antioxidant Vitamin E Hypoallergenic 010 Brown Eyes 0.1 Oz Create beautifully enhanced, brighter looking eyes with the Almay Intense i-color Shadow Palette™, a richly pigmented five-shadow assortment expertly curated by eye color: brown eyes, blue eyes, green eyes, hazel eyes. Each of our four compacts comes with an antioxidant vitamin E-enriched primer base that smooths lids, extends wear of eye shadows, and protects against environmental stressors. Also included are four creamy eye shadows in a variety of finishes that last without creasing, smudging, or fading. Not only is choosing your eye palette easy, so is the application. While the palette mimics the shape of your eye, each pan is labeled with a directional number to make building your look effortless—whether you’re a novice or a pro. Formulated with sensitive eyes in mind, this versatile eye shadow kit is perfect for a wide range of looks including transitioning your eye makeup from day to night. And because we love the environment as much as we love your delicate eyes, we’ve made the packaging from sustainably sourced paper. Formulated without added parabens, phthalates, SLS, mineral oil, DMDM Hydantoin, formaldehydes, and Triclosan. Suitable for contact lens wearers. As always, hypoallergenic. Ophthalmologist tested. Clean. Cruelty free. Fragrance free."
d6,https://www.amazon.com/Almay-Enhancing-Longlasting-Antioxidant-Hypoallergenic/dp/B08MRRNL17/ref=sxin_13_pa_sp_search_thematic_mod_primary_new?content-id=amzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%3Aamzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295&crid=1QJ2Z0KOR688P&cv_ct_cx=eyeshadow&keywords=eyeshadow&pd_rd_i=B08MRRNL17&pd_rd_r=081c5608-9884-4615-a068-e8040d6e2b04&pd_rd_w=jWHJZ&pd_rd_wg=0TwJC&pf_rd_p=4e7a2229-074e-44de-95c4-9fd858f46295&pf_rd_r=ME1NVC79G6ZH41G7BNA7&qid=1668625740&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=eyeshadow%2Caps%2C92&sr=1-1-a73d1c8c-2fd2-4f19-aa41-2df022bcb241,"Eyeshadow Palette by Almay Longlasting Eye Makeup Primer Enriched with Antioxidant Vitamin E Hypoallergenic 010 Brown Eyes 0.1 Oz Create beautifully enhanced, brighter looking eyes with the Almay Intense i-color Shadow Palette™, a richly pigmented five-shadow assortment expertly curated by eye color: brown eyes, blue eyes, green eyes, hazel eyes. Each of our four compacts comes with an antioxidant vitamin E-enriched primer base that smooths lids, extends wear of eye shadows, and protects against environmental stressors. Also included are four creamy eye shadows in a variety of finishes that last without creasing, smudging, or fading. Not only is choosing your eye palette easy, so is the application. While the palette mimics the shape of your eye, each pan is labeled with a directional number to make building your look effortless—whether you’re a novice or a pro. Formulated with sensitive eyes in mind, this versatile eye shadow kit is perfect for a wide range of looks including transitioning your eye makeup from day to night. And because we love the environment as much as we love your delicate eyes, we’ve made the packaging from sustainably sourced paper. Formulated without added parabens, phthalates, SLS, mineral oil, DMDM Hydantoin, formaldehydes, and Triclosan. Suitable for contact lens wearers. As always, hypoallergenic. Ophthalmologist tested. Clean. Cruelty free. Fragrance free."
d7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTkwNDk1ODY1OTQyNTUzOjE2Njg2MjU3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA2OTY4NDAxMjYzMTo6MTo6&url=%2FJulep-Eyeshadow-Powder-Waterproof-Amethyst%2Fdp%2FB088ZYMQSJ%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%253Aamzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%26crid%3D1QJ2Z0KOR688P%26cv_ct_cx%3Deyeshadow%26keywords%3Deyeshadow%26pd_rd_i%3DB088ZYMQSJ%26pd_rd_r%3D081c5608-9884-4615-a068-e8040d6e2b04%26pd_rd_w%3DjWHJZ%26pd_rd_wg%3D0TwJC%26pf_rd_p%3D4e7a2229-074e-44de-95c4-9fd858f46295%26pf_rd_r%3DME1NVC79G6ZH41G7BNA7%26qid%3D1668625740%26sprefix%3Deyeshadow%252Caps%252C92%26sr%3D1-2-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1%26smid%3DA1LHJFDVRQU851,Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick Smoky Amethyst
d8,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTkwNDk1ODY1OTQyNTUzOjE2Njg2MjU3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA4NDUzNjcyNDczMTo6Mjo6&url=%2FJulep-Eyeshadow-Powder-Waterproof-Shimmer%2Fdp%2FB097HP5ZMZ%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%253Aamzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%26crid%3D1QJ2Z0KOR688P%26cv_ct_cx%3Deyeshadow%26keywords%3Deyeshadow%26pd_rd_i%3DB097HP5ZMZ%26pd_rd_r%3D081c5608-9884-4615-a068-e8040d6e2b04%26pd_rd_w%3DjWHJZ%26pd_rd_wg%3D0TwJC%26pf_rd_p%3D4e7a2229-074e-44de-95c4-9fd858f46295%26pf_rd_r%3DME1NVC79G6ZH41G7BNA7%26qid%3D1668625740%26sprefix%3Deyeshadow%252Caps%252C92%26sr%3D1-3-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,Julep Eyeshadow 101 Crème to Powder Waterproof Eyeshadow Stick Duo Bronze Shimmer and Warm Gold Shimmer
d9,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0MTkwNDk1ODY1OTQyNTUzOjE2Njg2MjU3NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDEwMTQ1MjQ3MTA5ODo6Mzo6&url=%2FLUXAZA-Eyeshadow-Hypoallergenic-Highlighter-Waterproof%2Fdp%2FB09YGQ45Z7%2Fref%3Dsxin_13_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%253Aamzn1.sym.4e7a2229-074e-44de-95c4-9fd858f46295%26crid%3D1QJ2Z0KOR688P%26cv_ct_cx%3Deyeshadow%26keywords%3Deyeshadow%26pd_rd_i%3DB09YGQ45Z7%26pd_rd_r%3D081c5608-9884-4615-a068-e8040d6e2b04%26pd_rd_w%3DjWHJZ%26pd_rd_wg%3D0TwJC%26pf_rd_p%3D4e7a2229-074e-44de-95c4-9fd858f46295%26pf_rd_r%3DME1NVC79G6ZH41G7BNA7%26qid%3D1668625740%26sprefix%3Deyeshadow%252Caps%252C92%26sr%3D1-4-a73d1c8c-2fd2-4f19-aa41-2df022bcb241-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,LUXAZA 6PCS Cream Eyeshadow StickMatte And Shimmer Neutral Brown Eyeshadow Pencil CrayonHypoallergenic EyeshadowHighlighter Eye LinerPro Waterproof & Long Lasting Eye Shadow And Eyeliner Pen Sets
